L,Vbias,result
12,0.3,False
12,0.35,False
12,0.4,False
12,0.45,True
12,0.5,True
12,0.55,True
12,0.6,True
12,0.65,True
12,0.7,True
12,0.75,True
12,0.8,True
12,0.85,True
12,0.9,True
12,0.95,True
12,1.0,True
12,1.05,True
12,1.1,True
12,1.15,True
12,1.2,True
12,1.25,True
13,1.75,False
13,1.8,False
14,0.3,False
14,0.35,False
14,0.4,True
14,0.45,True
14,0.5,True
14,0.55,True
14,0.6,True
14,0.65,True
14,0.7,True
14,0.75,True
14,0.8,True
14,0.85,True
14,0.9,True
14,0.95,True
14,1.0,True
14,1.05,True
14,1.1,True
14,1.15,True
15,0.65,True
15,0.7,True
15,0.75,True
15,0.8,True
15,0.85,True
15,0.9,True
15,0.95,True
15,1.0,True
15,1.05,True
15,1.1,True
15,1.15,True
15,1.2,True
15,1.25,True
15,1.3,False
15,1.35,False
15,1.4,False
15,1.45,False
15,1.5,False
15,1.55,False
15,1.6,False
13,0.75,True
13,0.8,True
13,0.85,True
13,0.9,True
13,0.95,True
13,1.0,True
13,1.05,True
13,1.1,True
13,1.15,True
13,1.2,True
13,1.25,True
13,1.3,False
13,1.35,False
13,1.4,False
13,1.45,False
13,1.5,False
13,1.55,False
13,1.6,False
13,1.65,False
13,1.7,False
12,1.3,False
12,1.35,False
12,1.4,False
12,1.45,False
12,1.5,False
12,1.55,False
12,1.6,False
12,1.65,False
12,1.7,False
12,1.75,False
12,1.8,False
13,0.3,False
13,0.35,False
13,0.4,False
13,0.45,True
13,0.5,True
13,0.55,True
13,0.6,True
13,0.65,True
13,0.7,True
14,1.2,True
14,1.25,True
14,1.3,False
14,1.35,False
14,1.4,False
14,1.45,False
14,1.5,False
14,1.55,False
14,1.6,False
14,1.65,False
14,1.7,False
14,1.75,False
14,1.8,False
15,0.3,False
15,0.35,False
15,0.4,True
15,0.45,True
15,0.5,True
15,0.55,True
15,0.6,True
15,1.65,False
15,1.7,False
15,1.75,False
15,1.8,False
16,0.3,False
16,0.35,False
16,0.4,True
16,0.45,True
16,0.5,True
16,0.55,True
16,0.6,True
16,0.65,True
16,0.7,True
16,0.75,True
16,0.8,True
16,0.85,True
16,0.9,True
16,0.95,True
16,1.0,True
16,1.05,True
17,0.55,True
17,0.6,True
17,0.65,True
17,0.7,True
17,0.75,True
17,0.8,True
17,0.85,True
17,0.9,True
17,0.95,True
17,1.0,True
17,1.05,True
17,1.1,True
17,1.15,True
17,1.2,True
17,1.25,True
17,1.3,False
17,1.35,False
17,1.4,False
17,1.45,False
17,1.5,False
19,0.45,True
19,0.5,True
19,0.55,True
19,0.6,True
19,0.65,True
19,0.7,True
19,0.75,True
19,0.8,True
19,0.85,True
19,0.9,True
19,0.95,True
19,1.0,True
19,1.05,True
19,1.1,True
19,1.15,True
19,1.2,True
19,1.25,True
19,1.3,False
19,1.35,False
19,1.4,False
16,1.1,True
16,1.15,True
16,1.2,True
16,1.25,True
16,1.3,False
16,1.35,False
16,1.4,False
16,1.45,False
16,1.5,False
16,1.55,False
16,1.6,False
16,1.65,False
16,1.7,False
16,1.75,False
16,1.8,False
17,0.3,False
17,0.35,False
17,0.4,True
17,0.45,True
17,0.5,True
17,1.55,False
17,1.6,False
17,1.65,False
17,1.7,False
17,1.75,False
17,1.8,False
18,0.3,False
18,0.35,False
18,0.4,True
18,0.45,True
18,0.5,True
18,0.55,True
18,0.6,True
18,0.65,True
18,0.7,True
18,0.75,True
18,0.8,True
18,0.85,True
18,0.9,True
18,0.95,True
21,0.35,False
21,0.4,False
21,0.45,True
21,0.5,True
21,0.55,True
21,0.6,True
21,0.65,True
21,0.7,True
21,0.75,True
21,0.8,True
21,0.85,True
21,0.9,True
21,0.95,True
21,1.0,True
21,1.05,True
21,1.1,True
21,1.15,True
21,1.2,True
21,1.25,True
21,1.3,False
18,1.0,True
18,1.05,True
18,1.1,True
18,1.15,True
18,1.2,True
18,1.25,True
18,1.3,False
18,1.35,False
18,1.4,False
18,1.45,False
18,1.5,False
18,1.55,False
18,1.6,False
18,1.65,False
18,1.7,False
18,1.75,False
18,1.8,False
19,0.3,False
19,0.35,False
19,0.4,True
19,1.45,False
19,1.5,False
19,1.55,False
19,1.6,False
19,1.65,False
19,1.7,False
19,1.75,False
19,1.8,False
20,0.3,False
20,0.35,False
20,0.4,True
20,0.45,True
20,0.5,True
20,0.55,True
20,0.6,True
20,0.65,True
20,0.7,True
20,0.75,True
20,0.8,True
20,0.85,True
20,0.9,True
20,0.95,True
20,1.0,True
20,1.05,True
20,1.1,True
20,1.15,True
20,1.2,True
20,1.25,True
20,1.3,False
20,1.35,False
20,1.4,False
20,1.45,False
20,1.5,False
20,1.55,False
20,1.6,False
20,1.65,False
20,1.7,False
20,1.75,False
20,1.8,False
21,0.3,False
22,1.8,False
23,0.3,False
23,0.35,False
23,0.4,False
