L,Vbias,result
13,0.55,True
13,0.6,True
13,0.65,True
13,0.7,True
13,0.75,True
13,0.8,True
13,0.85,True
13,0.9,True
13,0.95,True
13,1.0,True
13,1.05,True
13,1.1,True
13,1.15,True
13,1.2,True
13,1.25,True
13,1.3,False
14,0.4,True
14,0.45,True
14,0.5,True
14,0.55,True
11,0.45,False
11,0.5,True
11,0.55,True
11,0.6,True
11,0.65,True
11,0.7,True
11,0.75,True
11,0.8,True
11,0.85,True
11,0.9,True
11,0.95,True
11,1.0,True
11,1.05,True
11,1.1,True
11,1.15,True
11,1.2,True
11,1.25,True
11,1.3,False
12,0.4,False
12,0.45,True
10,0.4,False
10,0.45,False
10,0.5,True
10,0.55,True
10,0.6,True
10,0.65,True
10,0.7,True
10,0.75,True
10,0.8,True
10,0.85,True
10,0.9,True
10,0.95,True
10,1.0,True
10,1.05,True
10,1.1,True
10,1.15,True
10,1.2,True
10,1.25,True
10,1.3,False
11,0.4,False
12,0.5,True
12,0.55,True
12,0.6,True
12,0.65,True
12,0.7,True
12,0.75,True
12,0.8,True
12,0.85,True
12,0.9,True
12,0.95,True
12,1.0,True
12,1.05,True
12,1.1,True
12,1.15,True
12,1.2,True
12,1.25,True
12,1.3,False
13,0.4,False
13,0.45,True
13,0.5,True
14,0.6,True
14,0.65,True
14,0.7,True
14,0.75,True
14,0.8,True
14,0.85,True
14,0.9,True
14,0.95,True
14,1.0,True
14,1.05,True
14,1.1,True
14,1.15,True
14,1.2,True
14,1.25,True
14,1.3,False
15,0.4,True
15,0.45,True
15,0.5,True
15,0.55,True
15,0.6,True
15,0.65,True
15,0.7,True
15,0.75,True
15,0.8,True
15,0.85,True
15,0.9,True
15,0.95,True
15,1.0,True
15,1.05,True
15,1.1,True
15,1.15,True
15,1.2,True
15,1.25,True
15,1.3,False
16,0.4,True
16,0.45,True
16,0.5,True
16,0.55,True
16,0.6,True
16,0.65,True
17,0.75,True
17,0.8,True
17,0.85,True
17,0.9,True
17,0.95,True
17,1.0,True
17,1.05,True
17,1.1,True
17,1.15,True
17,1.2,True
17,1.25,True
17,1.3,False
18,0.4,True
18,0.45,True
18,0.5,True
18,0.55,True
18,0.6,True
18,0.65,True
18,0.7,True
18,0.75,True
16,0.7,True
16,0.75,True
16,0.8,True
16,0.85,True
16,0.9,True
16,0.95,True
16,1.0,True
16,1.05,True
16,1.1,True
16,1.15,True
16,1.2,True
16,1.25,True
16,1.3,False
17,0.4,True
17,0.45,True
17,0.5,True
17,0.55,True
17,0.6,True
17,0.65,True
17,0.7,True
18,0.8,True
18,0.85,True
18,0.9,True
18,0.95,True
18,1.0,True
18,1.05,True
18,1.1,True
18,1.15,True
18,1.2,True
18,1.25,True
18,1.3,False
19,0.4,True
19,0.45,True
19,0.5,True
19,0.55,True
19,0.6,True
19,0.65,True
19,0.7,True
19,0.75,True
19,0.8,True
19,0.85,True
19,0.9,True
19,0.95,True
19,1.0,True
19,1.05,True
19,1.1,True
19,1.15,True
19,1.2,True
19,1.25,True
19,1.3,False
20,0.4,True
20,0.45,True
20,0.5,True
20,0.55,True
20,0.6,True
20,0.65,True
20,0.7,True
20,0.75,True
20,0.8,True
20,0.85,True
20,0.9,True
20,0.95,True
20,1.0,True
20,1.05,True
20,1.1,True
20,1.15,True
20,1.2,True
20,1.25,True
20,1.3,False
21,0.4,False
21,0.45,True
21,0.5,True
21,0.55,True
21,0.6,True
21,0.65,True
21,0.7,True
21,0.75,True
21,0.8,True
21,0.85,True
21,0.9,True
21,0.95,True
21,1.0,True
21,1.05,True
21,1.1,True
21,1.15,True
21,1.2,True
21,1.25,True
21,1.3,False
22,0.4,False
22,0.45,True
22,0.5,True
22,0.55,True
22,0.6,True
22,0.65,True
22,0.7,True
22,0.75,True
22,0.8,True
22,0.85,True
22,0.9,True
22,0.95,True
22,1.0,True
22,1.05,True
22,1.1,True
22,1.15,True
22,1.2,True
22,1.25,True
22,1.3,False
23,0.4,False
23,0.45,True
23,0.5,True
23,0.55,True
23,0.6,True
23,0.65,True
23,0.7,True
23,0.75,True
23,0.8,True
23,0.85,True
23,0.9,True
23,0.95,True
23,1.0,True
23,1.05,True
23,1.1,True
23,1.15,True
23,1.2,True
23,1.25,True
23,1.3,False
24,0.4,False
24,0.45,False
24,0.5,True
24,0.55,True
24,0.6,True
24,0.65,True
24,0.7,True
24,0.75,True
24,0.8,True
24,0.85,True
24,0.9,True
24,0.95,True
24,1.0,True
24,1.05,True
24,1.1,True
24,1.15,True
24,1.2,True
24,1.25,True
24,1.3,False
25,0.4,False
25,0.45,False
25,0.5,True
25,0.55,True
25,0.6,True
25,0.65,True
25,0.7,True
25,0.75,True
25,0.8,True
25,0.85,True
25,0.9,True
25,0.95,True
25,1.0,True
25,1.05,True
25,1.1,True
25,1.15,True
25,1.2,True
25,1.25,True
25,1.3,False
