"('L',)",count,Vbias
2,2.0,"[1.1, 1.3]"
7,3.0,"[0.7, 0.9, 1.1]"
27,3.0,"[0.7, 0.9, 1.1]"
32,3.0,"[0.7, 0.9, 1.1]"
37,3.0,"[0.7, 0.9, 1.1]"
42,3.0,"[0.7, 0.9, 1.1]"
12,4.0,"[0.5, 0.7, 0.9, 1.1]"
17,4.0,"[0.5, 0.7, 0.9, 1.1]"
22,4.0,"[0.5, 0.7, 0.9, 1.1]"
