L,Vbias,result
17.1,1.118,False
17.1,1.119,False
17.1,1.12,True
17.1,1.121,True
17.2,1.115,False
17.2,1.116,False
17.2,1.117,False
17.2,1.118,False
17.2,1.119,False
17.2,1.12,True
17,1.115,False
17,1.116,False
17,1.117,False
17,1.118,False
17,1.119,False
17,1.12,True
17,1.121,True
17.1,1.115,False
17.1,1.116,False
17.1,1.117,False
17.7,1.116,False
17.7,1.117,False
17.7,1.118,False
17.7,1.119,False
17.7,1.12,True
17.7,1.121,True
17.8,1.115,False
17.8,1.116,False
17.8,1.117,False
17.8,1.118,False
17.2,1.121,True
17.3,1.115,False
17.3,1.116,False
17.3,1.117,False
17.3,1.118,False
17.3,1.119,False
17.3,1.12,True
17.3,1.121,True
17.4,1.115,False
17.4,1.116,False
17.5,1.12,True
17.5,1.121,True
17.6,1.115,False
17.6,1.116,False
17.6,1.117,False
17.6,1.118,False
17.6,1.119,False
17.6,1.12,True
17.6,1.121,True
17.7,1.115,False
18.1,1.118,False
18.1,1.119,False
18.1,1.12,True
18.1,1.121,True
18.2,1.115,False
18.2,1.116,False
18.2,1.117,False
18.2,1.118,False
18.2,1.119,False
18.2,1.12,True
18.4,1.117,False
18.4,1.118,False
18.4,1.119,False
18.4,1.12,True
18.4,1.121,True
18.5,1.115,False
18.5,1.116,False
18.5,1.117,False
18.5,1.118,False
18.5,1.119,False
18.0,1.115,False
18.0,1.116,False
18.0,1.117,False
18.0,1.118,False
18.0,1.119,False
18.0,1.12,True
18.0,1.121,True
18.1,1.115,False
18.1,1.116,False
18.1,1.117,False
18.2,1.121,True
18.3,1.115,False
18.3,1.116,False
18.3,1.117,False
18.3,1.118,False
18.3,1.119,False
18.3,1.12,True
18.3,1.121,True
18.4,1.115,False
18.4,1.116,False
17.4,1.117,False
17.4,1.118,False
17.4,1.119,False
17.4,1.12,True
17.4,1.121,True
17.5,1.115,False
17.5,1.116,False
17.5,1.117,False
17.5,1.118,False
17.5,1.119,False
17.8,1.119,False
17.8,1.12,True
17.8,1.121,True
17.9,1.115,False
17.9,1.116,False
17.9,1.117,False
17.9,1.118,False
17.9,1.119,False
17.9,1.12,True
17.9,1.121,True
18.5,1.12,True
18.5,1.121,True
18.6,1.115,False
18.6,1.116,False
18.6,1.117,False
18.6,1.118,False
18.6,1.119,False
18.6,1.12,True
18.6,1.121,True
18.7,1.115,False
19.0,1.115,False
19.0,1.116,False
19.0,1.117,False
19.0,1.118,False
19.0,1.119,False
19.0,1.12,True
19.0,1.121,True
18.7,1.116,False
18.7,1.117,False
18.7,1.118,False
18.7,1.119,False
18.7,1.12,True
18.7,1.121,True
18.8,1.115,False
18.8,1.116,False
18.8,1.117,False
18.8,1.118,False
18.8,1.119,False
18.8,1.12,True
18.8,1.121,True
18.9,1.115,False
18.9,1.116,False
18.9,1.117,False
18.9,1.118,False
18.9,1.119,False
18.9,1.12,True
18.9,1.121,True
