L,Vbias,result
15,1,False
15,1.1,False
15,1.2,True
15,1.3,True
15,1.4,True
15,1.5,True
15,1.6,True
15,1.7,True
15,1.8,True
15,1.9,True
15,2.0,True
15,2.1,True
15,2.2,True
15,2.3,True
15,2.4,True
15,2.5,True
15,2.6,True
15,2.7,True
15,2.8,True
15,2.9,True
15.2,1.6,True
15.2,1.7,True
15.2,1.8,True
15.2,1.9,True
15.2,2.0,True
15.2,2.1,True
15.2,2.2,True
15.2,2.3,True
15.2,2.4,True
15.2,2.5,True
15.8,1.4,True
15.8,1.5,True
15.8,1.6,True
15.8,1.7,True
15.8,1.8,True
15.8,1.9,True
15.8,2.0,True
15.8,2.1,True
15.8,2.2,True
15.8,2.3,True
15.6,1.8,True
15.6,1.9,True
15.6,2.0,True
15.6,2.1,True
15.6,2.2,True
15.6,2.3,True
15.6,2.4,True
15.6,2.5,True
15.6,2.6,True
15.6,2.7,True
15.4,1.2,True
15.4,1.3,True
15.4,1.4,True
15.4,1.5,True
15.4,1.6,True
15.4,1.7,True
15.4,1.8,True
15.4,1.9,True
15.4,2.0,True
15.4,2.1,True
15.4,2.2,True
15.4,2.3,True
15.4,2.4,True
15.4,2.5,True
15.4,2.6,True
15.4,2.7,True
15.4,2.8,True
15.4,2.9,True
15.4,3.0,True
15.4,3.1,False
15.4,3.2,False
15.4,3.3,False
15.6,1,False
15.6,1.1,False
15.6,1.2,True
15.6,1.3,True
15.6,1.4,True
15.6,1.5,True
15.6,1.6,True
15.6,1.7,True
15.6,2.8,True
15.6,2.9,True
15.6,3.0,True
15.6,3.1,False
15.6,3.2,False
15.6,3.3,False
15.8,1,False
15.8,1.1,False
15.8,1.2,True
15.8,1.3,True
15.2,2.6,True
15.2,2.7,True
15.2,2.8,True
15.2,2.9,True
15.2,3.0,True
15.2,3.1,False
15.2,3.2,False
15.2,3.3,False
15.4,1,False
15.4,1.1,False
15,3.0,True
15,3.1,False
15,3.2,False
15,3.3,False
15.2,1,False
15.2,1.1,False
15.2,1.2,True
15.2,1.3,True
15.2,1.4,True
15.2,1.5,True
15.8,2.4,True
15.8,2.5,True
15.8,2.6,True
15.8,2.7,True
15.8,2.8,True
15.8,2.9,True
15.8,3.0,True
15.8,3.1,False
15.8,3.2,False
15.8,3.3,False
16.0,1,False
16.0,1.1,False
16.0,1.2,True
16.0,1.3,True
16.0,1.4,True
16.0,1.5,True
16.0,1.6,True
16.0,1.7,True
16.0,1.8,True
16.0,1.9,True
16.0,2.0,True
16.0,2.1,True
16.0,2.2,True
16.0,2.3,True
16.0,2.4,True
16.0,2.5,True
16.0,2.6,True
16.0,2.7,True
16.0,2.8,True
16.0,2.9,True
16.2,1.6,True
16.2,1.7,True
16.2,1.8,True
16.2,1.9,True
16.2,2.0,True
16.2,2.1,True
16.2,2.2,True
16.2,2.3,True
16.2,2.4,True
16.2,2.5,True
16.4,1.2,True
16.4,1.3,True
16.4,1.4,True
16.4,1.5,True
16.4,1.6,True
16.4,1.7,True
16.4,1.8,True
16.4,1.9,True
16.4,2.0,True
16.4,2.1,True
16.4,2.2,True
16.4,2.3,True
16.4,2.4,True
16.4,2.5,True
16.4,2.6,True
16.4,2.7,True
16.4,2.8,True
16.4,2.9,True
16.4,3.0,True
16.4,3.1,False
16.6,1.8,True
16.6,1.9,True
16.6,2.0,True
16.6,2.1,True
16.6,2.2,True
16.6,2.3,True
16.6,2.4,True
16.6,2.5,True
16.6,2.6,True
16.6,2.7,True
16.0,3.0,True
16.0,3.1,False
16.0,3.2,False
16.0,3.3,False
16.2,1,False
16.2,1.1,False
16.2,1.2,True
16.2,1.3,True
16.2,1.4,True
16.2,1.5,True
16.8,1.4,True
16.8,1.5,True
16.8,1.6,True
16.8,1.7,True
16.8,1.8,True
16.8,1.9,True
16.8,2.0,True
16.8,2.1,True
16.8,2.2,True
16.8,2.3,True
17.0,1,False
17.0,1.1,False
17.0,1.2,True
17.0,1.3,True
17.0,1.4,True
17.0,1.5,True
17.0,1.6,True
17.0,1.7,True
17.0,1.8,True
17.0,1.9,True
17.0,2.0,True
17.0,2.1,True
17.0,2.2,True
17.0,2.3,True
17.0,2.4,True
17.0,2.5,True
17.0,2.6,True
17.0,2.7,True
17.0,2.8,True
17.0,2.9,True
16.2,2.6,True
16.2,2.7,True
16.2,2.8,True
16.2,2.9,True
16.2,3.0,True
16.2,3.1,False
16.2,3.2,False
16.2,3.3,False
16.4,1,False
16.4,1.1,False
17.2,1.6,True
17.2,1.7,True
17.2,1.8,True
17.2,1.9,True
17.2,2.0,True
17.2,2.1,True
17.2,2.2,True
17.2,2.3,True
17.2,2.4,True
17.2,2.5,True
16.4,3.2,False
16.4,3.3,False
16.6,1,False
16.6,1.1,False
16.6,1.2,True
16.6,1.3,True
16.6,1.4,True
16.6,1.5,True
16.6,1.6,True
16.6,1.7,True
16.6,2.8,True
16.6,2.9,True
16.6,3.0,True
16.6,3.1,False
16.6,3.2,False
16.6,3.3,False
16.8,1,False
16.8,1.1,False
16.8,1.2,True
16.8,1.3,True
16.8,2.4,True
16.8,2.5,True
16.8,2.6,True
16.8,2.7,True
16.8,2.8,True
16.8,2.9,True
16.8,3.0,True
16.8,3.1,False
16.8,3.2,False
16.8,3.3,False
17.4,1.2,True
17.4,1.3,True
17.4,1.4,True
17.4,1.5,True
17.4,1.6,True
17.4,1.7,True
17.4,1.8,True
17.4,1.9,True
17.4,2.0,True
17.4,2.1,True
17.0,3.0,True
17.0,3.1,False
17.0,3.2,False
17.0,3.3,False
17.2,1,False
17.2,1.1,False
17.2,1.2,True
17.2,1.3,True
17.2,1.4,True
17.2,1.5,True
17.6,1.8,True
17.6,1.9,True
17.6,2.0,True
17.6,2.1,True
17.6,2.2,True
17.6,2.3,True
17.6,2.4,True
17.6,2.5,True
17.6,2.6,True
17.6,2.7,True
17.4,2.2,True
17.4,2.3,True
17.4,2.4,True
17.4,2.5,True
17.4,2.6,True
17.4,2.7,True
17.4,2.8,True
17.4,2.9,True
17.4,3.0,True
17.4,3.1,False
17.8,1.4,True
17.8,1.5,True
17.8,1.6,True
17.8,1.7,True
17.8,1.8,True
17.8,1.9,True
17.8,2.0,True
17.8,2.1,True
17.8,2.2,True
17.8,2.3,True
17.2,2.6,True
17.2,2.7,True
17.2,2.8,True
17.2,2.9,True
17.2,3.0,True
17.2,3.1,False
17.2,3.2,False
17.2,3.3,False
17.4,1,False
17.4,1.1,False
18.0,1,False
18.0,1.1,False
18.0,1.2,True
18.0,1.3,True
18.0,1.4,True
18.0,1.5,True
18.0,1.6,True
18.0,1.7,True
18.0,1.8,True
18.0,1.9,True
17.4,3.2,False
17.4,3.3,False
17.6,1,False
17.6,1.1,False
17.6,1.2,True
17.6,1.3,True
17.6,1.4,True
17.6,1.5,True
17.6,1.6,True
17.6,1.7,True
18.0,2.0,True
18.0,2.1,True
18.0,2.2,True
18.0,2.3,True
18.0,2.4,True
18.0,2.5,True
18.0,2.6,True
18.0,2.7,True
18.0,2.8,True
18.0,2.9,True
18.2,1.6,True
18.2,1.7,True
18.2,1.8,True
18.2,1.9,True
18.2,2.0,True
18.2,2.1,True
18.2,2.2,True
18.2,2.3,True
18.2,2.4,True
18.2,2.5,True
17.6,2.8,True
17.6,2.9,True
17.6,3.0,True
17.6,3.1,False
17.6,3.2,False
17.6,3.3,False
17.8,1,False
