L,Vbias,result
16.1,1.1,False
16.1,1.105,False
16.1,1.11,False
16.1,1.115,False
16.1,1.12,True
16.1,1.125,True
16.1,1.13,True
16.1,1.135,True
16.1,1.14,True
16.1,1.145,True
16.5,1.1,False
16.5,1.105,False
16.5,1.11,False
16.5,1.115,False
16.5,1.12,True
16.5,1.125,True
16.5,1.13,True
16.5,1.135,True
16.5,1.14,True
16.5,1.145,True
16,1.1,False
16,1.105,False
16,1.11,False
16,1.115,False
16,1.12,True
16,1.125,True
16,1.13,True
16,1.135,True
16,1.14,True
16,1.145,True
16.2,1.1,False
16.2,1.105,False
16.2,1.11,False
16.2,1.115,False
16.2,1.12,True
16.2,1.125,True
16.2,1.13,True
16.2,1.135,True
16.2,1.14,True
16.2,1.145,True
16.9,1.1,False
16.9,1.105,False
16.9,1.11,False
16.9,1.115,False
16.9,1.12,True
16.9,1.125,True
16.9,1.13,True
16.9,1.135,True
16.9,1.14,True
16.9,1.145,True
16.7,1.1,False
16.7,1.105,False
16.7,1.11,False
16.7,1.115,False
16.7,1.12,True
16.7,1.125,True
16.7,1.13,True
16.7,1.135,True
16.7,1.14,True
16.7,1.145,True
16.6,1.1,False
16.6,1.105,False
16.6,1.11,False
16.6,1.115,False
16.6,1.12,True
16.6,1.125,True
16.6,1.13,True
16.6,1.135,True
16.6,1.14,True
16.6,1.145,True
16.8,1.1,False
16.8,1.105,False
16.8,1.11,False
16.8,1.115,False
16.8,1.12,True
16.8,1.125,True
16.8,1.13,True
16.8,1.135,True
16.8,1.14,True
16.8,1.145,True
17.0,1.1,False
17.0,1.105,False
17.0,1.11,False
17.0,1.115,False
17.0,1.12,True
17.0,1.125,True
17.0,1.13,True
17.0,1.135,True
17.0,1.14,True
17.0,1.145,True
16.4,1.1,False
16.4,1.105,False
16.4,1.11,False
16.4,1.115,False
16.4,1.12,True
16.4,1.125,True
16.4,1.13,True
16.4,1.135,True
16.4,1.14,True
16.4,1.145,True
16.3,1.1,False
16.3,1.105,False
16.3,1.11,False
16.3,1.115,False
16.3,1.12,True
16.3,1.125,True
16.3,1.13,True
16.3,1.135,True
16.3,1.14,True
16.3,1.145,True
17.1,1.1,False
17.1,1.105,False
17.1,1.11,False
17.1,1.115,False
17.1,1.12,True
17.1,1.125,True
17.1,1.13,True
17.1,1.135,True
17.1,1.14,True
17.1,1.145,True
17.2,1.1,False
17.2,1.105,False
17.2,1.11,False
17.2,1.115,False
17.2,1.12,True
17.2,1.125,True
17.2,1.13,True
17.2,1.135,True
17.2,1.14,True
17.2,1.145,True
17.5,1.1,False
17.5,1.105,False
17.5,1.11,False
17.5,1.115,False
17.5,1.12,True
17.5,1.125,True
17.5,1.13,True
17.5,1.135,True
17.5,1.14,True
17.5,1.145,True
17.7,1.1,False
17.7,1.105,False
17.7,1.11,False
17.7,1.115,False
17.7,1.12,True
17.7,1.125,True
17.7,1.13,True
17.7,1.135,True
17.7,1.14,True
17.7,1.145,True
17.6,1.1,False
17.6,1.105,False
17.6,1.11,False
17.6,1.115,False
17.6,1.12,True
17.6,1.125,True
17.6,1.13,True
17.6,1.135,True
17.6,1.14,True
17.6,1.145,True
17.4,1.1,False
17.4,1.105,False
17.4,1.11,False
17.4,1.115,False
17.4,1.12,True
17.4,1.125,True
17.4,1.13,True
17.4,1.135,True
17.4,1.14,True
17.4,1.145,True
17.3,1.1,False
17.3,1.105,False
17.3,1.11,False
17.3,1.115,False
17.3,1.12,True
17.3,1.125,True
17.3,1.13,True
17.3,1.135,True
17.3,1.14,True
17.3,1.145,True
17.9,1.1,False
17.9,1.105,False
17.9,1.11,False
17.9,1.115,False
17.9,1.12,True
17.9,1.125,True
17.9,1.13,True
17.9,1.135,True
17.9,1.14,True
17.9,1.145,True
18.3,1.1,False
18.3,1.105,False
18.3,1.11,False
18.3,1.115,False
18.3,1.12,True
18.3,1.125,True
18.3,1.13,True
