L,Vbias,result
1,0.3,False
1,0.32,False
1,0.34,False
1,0.36,False
1,0.38,False
1,0.4,False
1,0.42,False
1,0.44,False
1,0.46,False
1,0.48,False
1,0.5,False
1,0.52,False
1,0.54,False
1,0.56,False
1,0.58,False
1,0.6,False
1,0.62,False
1,0.64,False
1,0.66,False
1,0.68,False
1,0.9,False
1,0.92,False
1,0.94,False
1,0.96,False
1,0.98,False
1,1.0,False
1,1.02,True
1,1.04,True
1,1.06,True
1,1.08,False
1,1.3,False
1.5,0.3,False
1.5,0.32,False
1.5,0.34,False
1.5,0.36,False
1.5,0.38,False
1.5,0.4,False
1.5,0.42,False
1.5,0.44,False
1.5,0.46,False
1,0.7,False
1,0.72,False
1,0.74,False
1,0.76,False
1,0.78,False
1,0.8,False
1,0.82,False
1,0.84,False
1,0.86,False
1,0.88,False
1.5,0.48,False
1.5,0.5,False
1.5,0.52,True
1.5,0.54,True
1.5,0.56,True
1.5,0.58,True
1.5,0.6,True
1.5,0.62,True
1.5,0.64,True
1.5,0.66,True
1.5,0.68,True
1.5,0.7,True
1.5,0.72,True
1.5,0.74,True
1.5,0.76,True
1.5,0.78,True
1.5,0.8,True
1.5,0.82,True
1.5,0.84,True
1.5,0.86,True
1,1.1,False
1,1.12,False
1,1.14,False
1,1.16,False
1,1.18,False
1,1.2,False
1,1.22,False
1,1.24,False
1,1.26,False
1,1.28,False
1.5,1.28,True
1.5,1.3,False
2.0,0.3,False
2.0,0.32,False
2.0,0.34,False
2.0,0.36,False
2.0,0.38,False
2.0,0.4,False
2.0,0.42,False
2.0,0.44,False
1.5,0.88,True
1.5,0.9,True
1.5,0.92,True
1.5,0.94,True
1.5,0.96,True
1.5,0.98,True
1.5,1.0,True
1.5,1.02,True
1.5,1.04,True
1.5,1.06,True
1.5,1.08,True
1.5,1.1,True
1.5,1.12,True
1.5,1.14,True
1.5,1.16,True
1.5,1.18,True
1.5,1.2,True
1.5,1.22,True
1.5,1.24,True
1.5,1.26,True
2.0,0.46,False
2.0,0.48,False
2.0,0.5,False
2.0,0.52,False
2.0,0.54,False
2.0,0.56,False
2.0,0.58,True
2.0,0.6,True
2.0,0.62,True
2.0,0.64,True
2.0,0.66,True
2.0,0.68,True
2.0,0.7,True
2.0,0.72,True
2.0,0.74,True
2.0,0.76,True
2.0,0.78,True
2.0,0.8,True
2.0,0.82,True
2.0,0.84,True
2.0,0.86,True
2.0,0.88,True
2.0,0.9,True
2.0,0.92,True
2.0,0.94,True
2.0,0.96,True
2.0,0.98,True
2.0,1.0,True
2.0,1.02,True
2.0,1.04,True
2.0,1.06,True
2.0,1.08,True
2.0,1.1,True
2.0,1.12,True
2.0,1.14,True
2.0,1.16,True
2.0,1.18,True
2.0,1.2,True
2.0,1.22,True
2.0,1.24,True
2.0,1.26,True
2.0,1.28,True
2.0,1.3,False
