"('L', 'A')",count,Vbias
"(12, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(17, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(18, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(18, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(18, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(18, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(18, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(18, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(17, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(17, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(19, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(19, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(19, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(19, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(19, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(17, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(14, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 20)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 19)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 18)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 20)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 19)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 18)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 19)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 18)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(2, 20)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(4, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 20)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 19)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 18)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(3, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(10, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(9, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 19)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 18)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 13)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 12)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(6, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 18)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 16)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(7, 15)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(11, 10)",4.0,"[1.2, 1.4, 1.6, 1.8]"
