"('L', 'A')",count,Vbias
"(20, 19)",1.0,[1.8]
"(20, 17)",1.0,[1.8]
"(19, 19)",1.0,[1.8]
"(19, 20)",1.0,[1.8]
"(18, 20)",1.0,[1.8]
"(18, 19)",1.0,[1.8]
"(17, 20)",1.0,[1.8]
"(20, 18)",1.0,[1.8]
"(19, 18)",1.0,[1.8]
"(18, 18)",2.0,"[1.6, 1.8]"
"(18, 17)",2.0,"[1.6, 1.8]"
"(17, 18)",2.0,"[1.6, 1.8]"
"(17, 17)",2.0,"[1.6, 1.8]"
"(14, 20)",2.0,"[1.6, 1.8]"
"(15, 19)",2.0,"[1.6, 1.8]"
"(15, 20)",2.0,"[1.6, 1.8]"
"(16, 20)",2.0,"[1.6, 1.8]"
"(16, 19)",2.0,"[1.6, 1.8]"
"(16, 18)",2.0,"[1.6, 1.8]"
"(17, 19)",2.0,"[1.6, 1.8]"
"(19, 15)",2.0,"[1.6, 1.8]"
"(18, 16)",2.0,"[1.6, 1.8]"
"(19, 17)",2.0,"[1.6, 1.8]"
"(20, 14)",2.0,"[1.6, 1.8]"
"(20, 15)",2.0,"[1.6, 1.8]"
"(19, 16)",2.0,"[1.6, 1.8]"
"(20, 16)",2.0,"[1.6, 1.8]"
"(16, 10)",3.0,"[1.4, 1.6, 1.8]"
"(14, 17)",3.0,"[1.4, 1.6, 1.8]"
"(14, 18)",3.0,"[1.4, 1.6, 1.8]"
"(10, 19)",3.0,"[1.4, 1.6, 1.8]"
"(10, 20)",3.0,"[1.4, 1.6, 1.8]"
"(12, 14)",3.0,"[1.4, 1.6, 1.8]"
"(11, 15)",3.0,"[1.4, 1.6, 1.8]"
"(14, 19)",3.0,"[1.4, 1.6, 1.8]"
"(11, 16)",3.0,"[1.4, 1.6, 1.8]"
"(7, 20)",3.0,"[1.4, 1.6, 1.8]"
"(7, 19)",3.0,"[1.4, 1.6, 1.8]"
"(15, 11)",3.0,"[1.4, 1.6, 1.8]"
"(14, 16)",3.0,"[1.4, 1.6, 1.8]"
"(15, 14)",3.0,"[1.4, 1.6, 1.8]"
"(15, 15)",3.0,"[1.4, 1.6, 1.8]"
"(15, 16)",3.0,"[1.4, 1.6, 1.8]"
"(15, 17)",3.0,"[1.4, 1.6, 1.8]"
"(15, 18)",3.0,"[1.4, 1.6, 1.8]"
"(11, 17)",3.0,"[1.4, 1.6, 1.8]"
"(11, 19)",3.0,"[1.4, 1.6, 1.8]"
"(11, 18)",3.0,"[1.4, 1.6, 1.8]"
"(16, 11)",3.0,"[1.4, 1.6, 1.8]"
"(15, 12)",3.0,"[1.4, 1.6, 1.8]"
"(15, 13)",3.0,"[1.4, 1.6, 1.8]"
"(14, 15)",3.0,"[1.4, 1.6, 1.8]"
"(14, 13)",3.0,"[1.4, 1.6, 1.8]"
"(12, 16)",3.0,"[1.4, 1.6, 1.8]"
"(12, 17)",3.0,"[1.4, 1.6, 1.8]"
"(12, 18)",3.0,"[1.4, 1.6, 1.8]"
"(12, 19)",3.0,"[1.4, 1.6, 1.8]"
"(12, 20)",3.0,"[1.4, 1.6, 1.8]"
"(9, 20)",3.0,"[1.4, 1.6, 1.8]"
"(9, 19)",3.0,"[1.4, 1.6, 1.8]"
"(9, 18)",3.0,"[1.4, 1.6, 1.8]"
"(9, 17)",3.0,"[1.4, 1.6, 1.8]"
"(13, 13)",3.0,"[1.4, 1.6, 1.8]"
"(13, 14)",3.0,"[1.4, 1.6, 1.8]"
"(13, 15)",3.0,"[1.4, 1.6, 1.8]"
"(14, 14)",3.0,"[1.4, 1.6, 1.8]"
"(13, 16)",3.0,"[1.4, 1.6, 1.8]"
"(10, 16)",3.0,"[1.4, 1.6, 1.8]"
"(10, 17)",3.0,"[1.4, 1.6, 1.8]"
"(10, 18)",3.0,"[1.4, 1.6, 1.8]"
"(16, 12)",3.0,"[1.4, 1.6, 1.8]"
"(13, 17)",3.0,"[1.4, 1.6, 1.8]"
"(13, 18)",3.0,"[1.4, 1.6, 1.8]"
"(13, 19)",3.0,"[1.4, 1.6, 1.8]"
"(13, 20)",3.0,"[1.4, 1.6, 1.8]"
"(8, 20)",3.0,"[1.4, 1.6, 1.8]"
"(8, 19)",3.0,"[1.4, 1.6, 1.8]"
"(8, 18)",3.0,"[1.4, 1.6, 1.8]"
"(14, 12)",3.0,"[1.4, 1.6, 1.8]"
"(12, 15)",3.0,"[1.4, 1.6, 1.8]"
"(16, 13)",3.0,"[1.4, 1.6, 1.8]"
"(6, 20)",3.0,"[1.4, 1.6, 1.8]"
"(16, 15)",3.0,"[1.4, 1.6, 1.8]"
"(17, 15)",3.0,"[1.4, 1.6, 1.8]"
"(17, 16)",3.0,"[1.4, 1.6, 1.8]"
"(18, 8)",3.0,"[1.4, 1.6, 1.8]"
"(18, 9)",3.0,"[1.4, 1.6, 1.8]"
"(18, 10)",3.0,"[1.4, 1.6, 1.8]"
"(18, 11)",3.0,"[1.4, 1.6, 1.8]"
"(16, 14)",3.0,"[1.4, 1.6, 1.8]"
"(18, 12)",3.0,"[1.4, 1.6, 1.8]"
"(18, 13)",3.0,"[1.4, 1.6, 1.8]"
"(18, 14)",3.0,"[1.4, 1.6, 1.8]"
"(18, 15)",3.0,"[1.4, 1.6, 1.8]"
"(19, 7)",3.0,"[1.4, 1.6, 1.8]"
"(19, 8)",3.0,"[1.4, 1.6, 1.8]"
"(19, 9)",3.0,"[1.4, 1.6, 1.8]"
"(19, 10)",3.0,"[1.4, 1.6, 1.8]"
"(19, 11)",3.0,"[1.4, 1.6, 1.8]"
"(19, 12)",3.0,"[1.4, 1.6, 1.8]"
"(19, 13)",3.0,"[1.4, 1.6, 1.8]"
"(19, 14)",3.0,"[1.4, 1.6, 1.8]"
"(20, 6)",3.0,"[1.4, 1.6, 1.8]"
"(20, 7)",3.0,"[1.4, 1.6, 1.8]"
"(20, 8)",3.0,"[1.4, 1.6, 1.8]"
"(20, 9)",3.0,"[1.4, 1.6, 1.8]"
"(20, 10)",3.0,"[1.4, 1.6, 1.8]"
"(20, 11)",3.0,"[1.4, 1.6, 1.8]"
"(20, 12)",3.0,"[1.4, 1.6, 1.8]"
"(20, 13)",3.0,"[1.4, 1.6, 1.8]"
"(17, 14)",3.0,"[1.4, 1.6, 1.8]"
"(17, 13)",3.0,"[1.4, 1.6, 1.8]"
"(11, 20)",3.0,"[1.4, 1.6, 1.8]"
"(16, 16)",3.0,"[1.4, 1.6, 1.8]"
"(16, 17)",3.0,"[1.4, 1.6, 1.8]"
"(17, 11)",3.0,"[1.4, 1.6, 1.8]"
"(17, 10)",3.0,"[1.4, 1.6, 1.8]"
"(17, 9)",3.0,"[1.4, 1.6, 1.8]"
"(17, 12)",3.0,"[1.4, 1.6, 1.8]"
"(15, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(20, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(20, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(17, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(17, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(17, 2)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(20, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(13, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 9)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 3)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 4)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 6)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(16, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(20, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(12, 7)",4.0,"[1.2, 1.4, 1.6, 1.8]"
