"('L', 'A')",count,Vbias
"(20, 19)",1.0,[1.8]
"(12, 27)",1.0,[1.8]
"(9, 30)",1.0,[1.8]
"(14, 25)",1.0,[1.8]
"(18, 21)",1.0,[1.8]
"(10, 29)",1.0,[1.8]
"(15, 24)",1.0,[1.8]
"(16, 23)",1.0,[1.8]
"(13, 26)",1.0,[1.8]
"(17, 22)",1.0,[1.8]
"(11, 28)",1.0,[1.8]
"(19, 20)",1.0,[1.8]
"(8, 29)",2.0,"[1.7, 1.8]"
"(13, 25)",2.0,"[1.7, 1.8]"
"(18, 20)",2.0,"[1.7, 1.8]"
"(9, 28)",2.0,"[1.7, 1.8]"
"(9, 29)",2.0,"[1.7, 1.8]"
"(14, 23)",2.0,"[1.7, 1.8]"
"(14, 24)",2.0,"[1.7, 1.8]"
"(7, 30)",2.0,"[1.7, 1.8]"
"(15, 22)",2.0,"[1.7, 1.8]"
"(15, 23)",2.0,"[1.7, 1.8]"
"(16, 21)",2.0,"[1.7, 1.8]"
"(17, 21)",2.0,"[1.7, 1.8]"
"(17, 20)",2.0,"[1.7, 1.8]"
"(16, 22)",2.0,"[1.7, 1.8]"
"(18, 19)",2.0,"[1.7, 1.8]"
"(13, 24)",2.0,"[1.7, 1.8]"
"(8, 30)",2.0,"[1.7, 1.8]"
"(10, 28)",2.0,"[1.7, 1.8]"
"(20, 17)",2.0,"[1.7, 1.8]"
"(20, 18)",2.0,"[1.7, 1.8]"
"(11, 27)",2.0,"[1.7, 1.8]"
"(12, 25)",2.0,"[1.7, 1.8]"
"(10, 27)",2.0,"[1.7, 1.8]"
"(12, 26)",2.0,"[1.7, 1.8]"
"(11, 26)",2.0,"[1.7, 1.8]"
"(19, 18)",2.0,"[1.7, 1.8]"
"(19, 19)",2.0,"[1.7, 1.8]"
"(11, 25)",3.0,"[1.6, 1.7, 1.8]"
"(15, 21)",3.0,"[1.6, 1.7, 1.8]"
"(7, 29)",3.0,"[1.6, 1.7, 1.8]"
"(13, 23)",3.0,"[1.6, 1.7, 1.8]"
"(14, 22)",3.0,"[1.6, 1.7, 1.8]"
"(18, 18)",3.0,"[1.6, 1.7, 1.8]"
"(6, 30)",3.0,"[1.6, 1.7, 1.8]"
"(12, 24)",3.0,"[1.6, 1.7, 1.8]"
"(8, 28)",3.0,"[1.6, 1.7, 1.8]"
"(19, 17)",3.0,"[1.6, 1.7, 1.8]"
"(10, 26)",3.0,"[1.6, 1.7, 1.8]"
"(20, 16)",3.0,"[1.6, 1.7, 1.8]"
"(9, 27)",3.0,"[1.6, 1.7, 1.8]"
"(17, 19)",3.0,"[1.6, 1.7, 1.8]"
"(16, 20)",3.0,"[1.6, 1.7, 1.8]"
"(16, 19)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(5, 29)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(5, 30)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(12, 23)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(12, 22)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(16, 18)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(6, 28)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(13, 22)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(11, 24)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(15, 19)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(7, 27)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(7, 28)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(11, 23)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(14, 21)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(14, 20)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(8, 26)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(8, 27)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(10, 25)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(9, 25)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(9, 26)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(10, 24)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(13, 21)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(6, 29)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(4, 30)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(15, 20)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(18, 17)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(19, 16)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(17, 17)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(17, 18)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(20, 14)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(20, 15)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(18, 16)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(19, 15)",4.0,"[1.5, 1.6, 1.7, 1.8]"
"(7, 26)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(7, 25)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(3, 28)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(7, 24)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(13, 18)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(10, 21)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(10, 22)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(13, 19)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(10, 23)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(16, 15)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(16, 16)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(3, 29)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(13, 20)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(16, 17)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(6, 26)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(6, 27)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(9, 22)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(2, 29)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(2, 30)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(18, 13)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(18, 14)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(19, 14)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(3, 30)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(15, 18)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(15, 17)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(15, 16)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(19, 13)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(19, 12)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(6, 25)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(9, 23)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(9, 24)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(11, 22)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(20, 11)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(18, 15)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(12, 21)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(12, 20)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(11, 21)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(12, 19)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(17, 14)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(17, 15)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(17, 16)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(4, 29)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(20, 12)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(4, 28)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(4, 27)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(14, 19)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(8, 23)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(8, 24)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(8, 25)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(5, 26)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(5, 27)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(14, 18)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(14, 17)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(5, 28)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(11, 20)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(20, 13)",5.0,"[1.4, 1.5, 1.6, 1.7, 1.8]"
"(14, 14)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(14, 13)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(9, 21)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(9, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(9, 19)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(9, 18)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(9, 17)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(19, 8)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(8, 21)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(8, 22)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(19, 7)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(14, 12)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(8, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(4, 23)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(13, 16)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(19, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(12, 16)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(12, 17)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(12, 18)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 9)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 8)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
