"('L', 'R')",count,Vbias
"(5, 20)",1.0,[0.4]
"(20, 20)",1.0,[0.4]
"(25, 20)",1.0,[0.4]
"(15, 20)",1.0,[0.4]
"(10, 20)",1.0,[0.4]
"(30, 20)",1.0,[0.4]
"(5, 30)",2.0,"[0.4, 0.6]"
"(10, 30)",2.0,"[0.4, 0.6]"
"(25, 30)",2.0,"[0.4, 0.6]"
"(30, 30)",2.0,"[0.4, 0.6]"
"(20, 30)",2.0,"[0.4, 0.6]"
"(15, 30)",2.0,"[0.4, 0.6]"
"(30, 40)",3.0,"[0.6, 0.8, 1.0]"
"(30, 60)",4.0,"[0.8, 1.0, 1.2, 1.4]"
"(5, 40)",4.0,"[0.4, 0.6, 0.8, 1.0]"
"(25, 40)",4.0,"[0.4, 0.6, 0.8, 1.0]"
"(15, 40)",4.0,"[0.4, 0.6, 0.8, 1.0]"
"(25, 50)",4.0,"[0.6, 0.8, 1.0, 1.2]"
"(10, 40)",4.0,"[0.4, 0.6, 0.8, 1.0]"
"(30, 50)",4.0,"[0.6, 0.8, 1.0, 1.2]"
"(20, 40)",4.0,"[0.4, 0.6, 0.8, 1.0]"
"(5, 50)",5.0,"[0.4, 0.6, 0.8, 1.0, 1.2]"
"(25, 60)",5.0,"[0.6, 0.8, 1.0, 1.2, 1.4]"
"(15, 50)",5.0,"[0.4, 0.6, 0.8, 1.0, 1.2]"
"(10, 50)",5.0,"[0.4, 0.6, 0.8, 1.0, 1.2]"
"(20, 60)",5.0,"[0.6, 0.8, 1.0, 1.2, 1.4]"
"(20, 50)",5.0,"[0.4, 0.6, 0.8, 1.0, 1.2]"
"(25, 70)",6.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 80)",6.0,"[1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(30, 70)",6.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 100)",6.0,"[1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(5, 60)",6.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4]"
"(10, 60)",6.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4]"
"(15, 60)",6.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4]"
"(25, 80)",7.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(20, 70)",7.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8]"
"(15, 70)",7.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8]"
"(25, 100)",7.0,"[1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(25, 90)",7.0,"[1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(30, 90)",7.0,"[1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(5, 70)",8.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8]"
"(10, 70)",8.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8]"
"(15, 100)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 80)",8.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(20, 100)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(20, 90)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(20, 80)",8.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(5, 80)",9.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(10, 80)",9.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(15, 90)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(10, 90)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(10, 100)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(5, 100)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(5, 90)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
