"('L', 'R', 'A')",count,Vbias
"(5, 120, 30)",4.0,"[1.6, 1.7, 1.8, 1.9]"
"(5, 60, 15)",4.0,"[1.1, 1.2, 1.3, 1.4]"
"(5, 170, 25)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 180, 15)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 60, 5)",5.0,"[1.1, 1.2, 1.3, 1.4, 1.5]"
"(10, 180, 20)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 90, 15)",5.0,"[1.3, 1.4, 1.5, 1.6, 1.7]"
"(10, 170, 20)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 180, 25)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 90, 25)",5.0,"[1.3, 1.4, 1.5, 1.6, 1.7]"
"(10, 150, 20)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 90, 10)",5.0,"[1.3, 1.4, 1.5, 1.6, 1.7]"
"(5, 60, 10)",5.0,"[1.1, 1.2, 1.3, 1.4, 1.5]"
"(15, 170, 15)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 160, 25)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 160, 20)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 160, 15)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 90, 20)",5.0,"[1.3, 1.4, 1.5, 1.6, 1.7]"
"(10, 70, 10)",5.0,"[1.2, 1.3, 1.4, 1.5, 1.6]"
"(20, 150, 10)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 70, 15)",5.0,"[1.2, 1.3, 1.4, 1.5, 1.6]"
"(20, 160, 10)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 150, 25)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 170, 10)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 150, 15)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 180, 10)",5.0,"[1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 70, 5)",5.0,"[1.2, 1.3, 1.4, 1.5, 1.6]"
"(15, 120, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 190, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 130, 25)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 80, 10)",6.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(5, 140, 25)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 200, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 110, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 80, 5)",6.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(15, 190, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 130, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 200, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 60, 5)",6.0,"[1.1, 1.2, 1.3, 1.4, 1.5, 1.6]"
"(20, 190, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 180, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 170, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 140, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 130, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 80, 15)",6.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(20, 120, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 80, 20)",6.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(20, 110, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 80, 5)",6.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(15, 200, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 110, 25)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 180, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 170, 10)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 140, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 120, 25)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 180, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 140, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 180, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 180, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 190, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 120, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 170, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 190, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 80, 15)",6.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(10, 80, 10)",6.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(10, 110, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 200, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 170, 5)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 130, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 200, 20)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 170, 15)",6.0,"[1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 200, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 110, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 190, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 120, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 150, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 180, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 180, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 180, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 180, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 100, 25)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 130, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 160, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 160, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 170, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 180, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 90, 20)",7.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
"(5, 200, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 70, 5)",7.0,"[1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(5, 200, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 80, 5)",7.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
"(5, 70, 10)",7.0,"[1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
"(5, 190, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 160, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 150, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 110, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 90, 15)",7.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
"(20, 140, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 130, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 80, 10)",7.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
"(20, 120, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 100, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 150, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 100, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 90, 5)",7.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
"(5, 190, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 110, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 130, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 160, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 140, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 170, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 150, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 150, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 150, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
