L,Vbias,result
16.1,1.05,False
16.1,1.1,False
16.1,1.15,True
16.1,1.2,True
16.1,1.25,True
16.1,1.3,True
16.1,1.35,True
16.1,1.4,True
16.2,1.0,False
16.2,1.05,False
17.2,1.1,False
17.2,1.15,True
17.2,1.2,True
17.2,1.25,True
17.2,1.3,True
17.2,1.35,True
17.2,1.4,True
17.3,1.0,False
17.3,1.05,False
17.3,1.1,False
16.2,1.1,False
16.2,1.15,True
16.2,1.2,True
16.2,1.25,True
16.2,1.3,True
16.2,1.35,True
16.2,1.4,True
16.3,1.0,False
16.3,1.05,False
16.3,1.1,False
17.0,1.0,False
17.0,1.05,False
17.0,1.1,False
17.0,1.15,True
17.0,1.2,True
17.0,1.25,True
17.0,1.3,True
17.0,1.35,True
17.0,1.4,True
17.1,1.0,False
16,1.0,False
16,1.05,False
16,1.1,False
16,1.15,True
16,1.2,True
16,1.25,True
16,1.3,True
16,1.35,True
16,1.4,True
16.1,1.0,False
16.4,1.2,True
16.4,1.25,True
16.4,1.3,True
16.4,1.35,True
16.4,1.4,True
16.5,1.0,False
16.5,1.05,False
16.5,1.1,False
16.5,1.15,True
16.5,1.2,True
16.8,1.4,True
16.9,1.0,False
16.9,1.05,False
16.9,1.1,False
16.9,1.15,True
16.9,1.2,True
16.9,1.25,True
16.9,1.3,True
16.9,1.35,True
16.9,1.4,True
16.5,1.25,True
16.5,1.3,True
16.5,1.35,True
16.5,1.4,True
16.6,1.0,False
16.6,1.05,False
16.6,1.1,False
16.6,1.15,True
16.6,1.2,True
16.6,1.25,True
16.3,1.15,True
16.3,1.2,True
16.3,1.25,True
16.3,1.3,True
16.3,1.35,True
16.3,1.4,True
16.4,1.0,False
16.4,1.05,False
16.4,1.1,False
16.4,1.15,True
17.1,1.05,False
17.1,1.1,False
17.1,1.15,True
17.1,1.2,True
17.1,1.25,True
17.1,1.3,True
17.1,1.35,True
17.1,1.4,True
17.2,1.0,False
17.2,1.05,False
16.6,1.3,True
16.6,1.35,True
16.6,1.4,True
16.7,1.0,False
16.7,1.05,False
16.7,1.1,False
16.7,1.15,True
16.7,1.2,True
16.7,1.25,True
16.7,1.3,True
16.7,1.35,True
16.7,1.4,True
16.8,1.0,False
16.8,1.05,False
16.8,1.1,False
16.8,1.15,True
16.8,1.2,True
16.8,1.25,True
16.8,1.3,True
16.8,1.35,True
17.3,1.15,True
17.3,1.2,True
17.3,1.25,True
17.3,1.3,True
17.3,1.35,True
17.3,1.4,True
17.4,1.0,False
17.4,1.05,False
17.4,1.1,False
17.4,1.15,True
17.4,1.2,True
17.4,1.25,True
17.4,1.3,True
17.4,1.35,True
17.4,1.4,True
17.5,1.0,False
17.5,1.05,False
17.5,1.1,False
17.5,1.15,True
17.5,1.2,True
18.1,1.05,False
18.1,1.1,False
18.1,1.15,True
18.1,1.2,True
18.1,1.25,True
18.1,1.3,True
18.1,1.35,True
18.1,1.4,True
18.2,1.0,False
18.2,1.05,False
18.0,1.0,False
18.0,1.05,False
18.0,1.1,False
18.0,1.15,True
18.0,1.2,True
18.0,1.25,True
18.0,1.3,True
18.0,1.35,True
18.0,1.4,True
18.1,1.0,False
17.7,1.35,True
17.7,1.4,True
17.8,1.0,False
17.8,1.05,False
17.8,1.1,False
17.8,1.15,True
17.8,1.2,True
17.8,1.25,True
17.8,1.3,True
17.8,1.35,True
17.5,1.25,True
17.5,1.3,True
17.5,1.35,True
17.5,1.4,True
17.6,1.0,False
17.6,1.05,False
17.6,1.1,False
17.6,1.15,True
17.6,1.2,True
17.6,1.25,True
17.6,1.3,True
17.6,1.35,True
17.6,1.4,True
17.7,1.0,False
17.7,1.05,False
17.7,1.1,False
17.7,1.15,True
17.7,1.2,True
17.7,1.25,True
17.7,1.3,True
17.8,1.4,True
17.9,1.0,False
17.9,1.05,False
17.9,1.1,False
17.9,1.15,True
17.9,1.2,True
17.9,1.25,True
17.9,1.3,True
17.9,1.35,True
17.9,1.4,True
18.2,1.1,False
18.2,1.15,True
18.2,1.2,True
18.2,1.25,True
18.2,1.3,True
18.2,1.35,True
18.2,1.4,True
18.3,1.0,False
18.3,1.05,False
18.3,1.1,False
18.3,1.15,True
18.3,1.2,True
18.3,1.25,True
18.3,1.3,True
18.3,1.35,True
18.3,1.4,True
18.4,1.0,False
18.4,1.05,False
18.4,1.1,False
18.4,1.15,True
18.4,1.2,True
18.4,1.25,True
18.4,1.3,True
18.4,1.35,True
18.4,1.4,True
18.5,1.0,False
18.5,1.05,False
18.5,1.1,False
18.5,1.15,True
18.5,1.2,True
18.5,1.25,True
18.5,1.3,True
18.5,1.35,True
18.5,1.4,True
18.6,1.0,False
18.6,1.05,False
18.6,1.1,False
18.6,1.15,True
18.6,1.2,True
18.6,1.25,True
18.7,1.35,True
18.7,1.4,True
18.8,1.0,False
18.8,1.05,False
18.8,1.1,False
18.8,1.15,True
18.8,1.2,True
18.8,1.25,True
18.8,1.3,True
18.8,1.35,True
19.0,1.0,False
19.0,1.05,False
19.0,1.1,False
19.0,1.15,True
19.0,1.2,True
19.0,1.25,True
19.0,1.3,True
19.0,1.35,True
19.0,1.4,True
19.1,1.0,False
18.6,1.3,True
18.6,1.35,True
18.6,1.4,True
18.7,1.0,False
18.7,1.05,False
18.7,1.1,False
18.7,1.15,True
18.7,1.2,True
18.7,1.25,True
18.7,1.3,True
18.8,1.4,True
18.9,1.0,False
18.9,1.05,False
18.9,1.1,False
18.9,1.15,True
18.9,1.2,True
18.9,1.25,True
18.9,1.3,True
18.9,1.35,True
18.9,1.4,True
19.1,1.05,False
19.1,1.1,False
19.1,1.15,True
19.1,1.2,True
19.1,1.25,True
19.1,1.3,True
19.1,1.35,True
19.1,1.4,True
19.2,1.0,False
19.2,1.05,False
19.2,1.1,False
19.2,1.15,True
19.2,1.2,True
19.2,1.25,True
19.2,1.3,True
19.2,1.35,True
