"('L',)",count,Vbias
40,3.0,"[1.2, 1.4, 1.6]"
28,4.0,"[1.0, 1.2, 1.4, 1.6]"
26,4.0,"[1.0, 1.2, 1.4, 1.6]"
24,4.0,"[1.0, 1.2, 1.4, 1.6]"
38,4.0,"[1.0, 1.2, 1.4, 1.6]"
2,4.0,"[1.0, 1.2, 1.4, 1.6]"
8,4.0,"[1.0, 1.2, 1.4, 1.6]"
6,4.0,"[1.0, 1.2, 1.4, 1.6]"
4,4.0,"[1.0, 1.2, 1.4, 1.6]"
14,5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
16,5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
18,5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
10,5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
22,5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
30,5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
32,5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
34,5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
36,5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
12,5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
20,5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
