L,Vbias,result
12,0.6,False
12,0.7,False
12,0.8,True
12,0.9,True
12,1.0,True
12,1.1,True
12,1.2,True
12,1.3,True
12,1.4,True
12,1.5,True
12,1.6,True
12,1.7,True
12,1.8,False
12,1.9,False
12,2.0,False
12,2.1,False
12,2.2,False
12,2.3,False
12,2.4,False
12,2.5,False
16,0.6,False
16,0.7,False
16,0.8,True
16,0.9,True
16,1.0,True
16,1.1,True
16,1.2,True
16,1.3,True
16,1.4,True
16,1.5,True
16,1.6,True
16,1.7,True
16,1.8,False
16,1.9,False
16,2.0,False
16,2.1,False
16,2.2,False
16,2.3,False
16,2.4,False
16,2.5,False
13,0.6,False
13,0.7,False
13,0.8,True
13,0.9,True
13,1.0,True
13,1.1,True
13,1.2,True
13,1.3,True
13,1.4,True
13,1.5,True
13,1.6,True
13,1.7,True
13,1.8,False
13,1.9,False
13,2.0,False
13,2.1,False
13,2.2,False
13,2.3,False
13,2.4,False
13,2.5,False
15,0.6,False
15,0.7,False
15,0.8,True
15,0.9,True
15,1.0,True
15,1.1,True
15,1.2,True
15,1.3,True
15,1.4,True
15,1.5,True
15,1.6,True
15,1.7,True
15,1.8,False
15,1.9,False
15,2.0,False
15,2.1,False
15,2.2,False
15,2.3,False
15,2.4,False
15,2.5,False
14,0.6,False
14,0.7,False
14,0.8,True
14,0.9,True
14,1.0,True
14,1.1,True
14,1.2,True
14,1.3,True
14,1.4,True
14,1.5,True
14,1.6,True
14,1.7,True
14,1.8,False
14,1.9,False
14,2.0,False
14,2.1,False
14,2.2,False
14,2.3,False
14,2.4,False
14,2.5,False
17,0.6,False
17,0.7,False
17,0.8,True
17,0.9,True
17,1.0,True
17,1.1,True
17,1.2,True
17,1.3,True
17,1.4,True
17,1.5,True
17,1.6,True
17,1.7,True
17,1.8,False
17,1.9,False
17,2.0,False
17,2.1,False
17,2.2,False
17,2.3,False
17,2.4,False
17,2.5,False
18,0.6,False
18,0.7,False
18,0.8,True
18,0.9,True
18,1.0,True
18,1.1,True
18,1.2,True
18,1.3,True
18,1.4,True
18,1.5,True
18,1.6,True
18,1.7,True
18,1.8,False
18,1.9,False
18,2.0,False
18,2.1,False
18,2.2,False
18,2.3,False
18,2.4,False
18,2.5,False
19,0.6,False
19,0.7,False
19,0.8,True
19,0.9,True
19,1.0,True
19,1.1,True
19,1.2,True
19,1.3,True
19,1.4,True
19,1.5,True
19,1.6,True
19,1.7,True
19,1.8,False
19,1.9,False
19,2.0,False
19,2.1,False
19,2.2,False
19,2.3,False
19,2.4,False
19,2.5,False
20,0.6,False
20,0.7,False
20,0.8,True
20,0.9,True
20,1.0,True
20,1.1,True
20,1.2,True
20,1.3,True
20,1.4,True
20,1.5,True
20,1.6,True
20,1.7,True
20,1.8,False
20,1.9,False
20,2.0,False
20,2.1,False
20,2.2,False
20,2.3,False
20,2.4,False
20,2.5,False
21,0.6,False
21,0.7,False
21,0.8,True
21,0.9,True
21,1.0,True
21,1.1,True
21,1.2,True
21,1.3,True
21,1.4,True
21,1.5,True
21,1.6,True
21,1.7,True
21,1.8,False
21,1.9,False
21,2.0,False
21,2.1,False
21,2.2,False
21,2.3,False
21,2.4,False
21,2.5,False
22,0.6,False
22,0.7,False
22,0.8,True
22,0.9,True
22,1.0,True
22,1.1,True
22,1.2,True
22,1.3,True
22,1.4,True
22,1.5,True
22,1.6,True
22,1.7,True
22,1.8,False
22,1.9,False
22,2.0,False
22,2.1,False
22,2.2,False
22,2.3,False
22,2.4,False
22,2.5,False
23,0.6,False
23,0.7,False
23,0.8,True
23,0.9,True
23,1.0,True
23,1.1,True
23,1.2,True
23,1.3,True
23,1.4,True
23,1.5,True
23,1.6,True
23,1.7,True
23,1.8,False
23,1.9,False
23,2.0,False
23,2.1,False
23,2.2,False
23,2.3,False
23,2.4,False
23,2.5,False
24,0.6,False
24,0.7,False
24,0.8,False
24,0.9,True
24,1.0,True
24,1.1,True
24,1.2,True
24,1.3,True
24,1.4,True
24,1.5,True
24,1.6,True
24,1.7,True
24,1.8,False
24,1.9,False
24,2.0,False
24,2.1,False
24,2.2,False
24,2.3,False
24,2.4,False
24,2.5,False
25,0.6,False
25,0.7,False
25,0.8,False
25,0.9,True
25,1.0,True
25,1.1,True
25,1.2,True
25,1.3,True
25,1.4,True
25,1.5,True
25,1.6,True
25,1.7,True
25,1.8,False
25,1.9,False
25,2.0,False
25,2.1,False
25,2.2,False
25,2.3,False
25,2.4,False
25,2.5,False
26,0.6,False
26,0.7,False
26,0.8,False
26,0.9,True
26,1.0,True
26,1.1,True
26,1.2,True
26,1.3,True
26,1.4,True
26,1.5,True
26,1.6,True
26,1.7,True
26,1.8,False
26,1.9,False
26,2.0,False
26,2.1,False
26,2.2,False
26,2.3,False
26,2.4,False
26,2.5,False
27,0.6,False
27,0.7,False
27,0.8,False
27,0.9,True
27,1.0,True
27,1.1,True
27,1.2,True
27,1.3,True
27,1.4,True
27,1.5,True
27,1.6,True
27,1.7,True
27,1.8,False
27,1.9,False
27,2.0,False
27,2.1,False
27,2.2,False
27,2.3,False
27,2.4,False
27,2.5,False
28,0.6,False
28,0.7,False
28,0.8,False
28,0.9,True
28,1.0,True
28,1.1,True
28,1.2,True
28,1.3,True
28,1.4,True
28,1.5,True
28,1.6,True
28,1.7,True
28,1.8,False
28,1.9,False
28,2.0,False
28,2.1,False
28,2.2,False
28,2.3,False
28,2.4,False
28,2.5,False
29,0.6,False
29,0.7,False
29,0.8,False
29,0.9,True
29,1.0,True
29,1.1,True
29,1.2,True
29,1.3,True
29,1.4,True
29,1.5,True
29,1.6,True
29,1.7,True
29,1.8,False
29,1.9,False
29,2.0,False
29,2.1,False
29,2.2,False
29,2.3,False
29,2.4,False
29,2.5,False
30,0.6,False
30,0.7,False
30,0.8,False
30,0.9,True
30,1.0,True
30,1.1,True
30,1.2,True
30,1.3,True
